Benchmarking with:Timeout 900 seconds 
Model path: ./data/models_nnet/neurify/mnist50.nnet 

Benchmarking with epsilon = 1: 

Final result of input 29: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 30: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 31: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 32: Status.Undecided, branches explored: 6978, max depth: 5360, time spent: 902.74 seconds
Final result of input 33: Status.Undecided, branches explored: 14454, max depth: 5726, time spent: 900.32 seconds
Final result of input 34: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 35: Status.Undecided, branches explored: 20349, max depth: 5180, time spent: 900.28 seconds
Final result of input 36: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 37: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 38: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 39: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 41: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 42: Status.Undecided, branches explored: 14158, max depth: 5492, time spent: 900.38 seconds
Final result of input 43: Status.Undecided, branches explored: 11224, max depth: 3070, time spent: 900.38 seconds
Final result of input 44: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 45: Status.Undecided, branches explored: 20172, max depth: 5108, time spent: 900.24 seconds
Final result of input 46: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 47: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 48: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 49: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 50: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 51: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 52: Status.Undecided, branches explored: 6995, max depth: 5379, time spent: 902.15 seconds
Final result of input 53: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.12 seconds
Final result of input 54: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.10 seconds
Final result of input 55: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.11 seconds
Final result of input 56: Status.Undecided, branches explored: 7429, max depth: 1958, time spent: 900.76 seconds
