Benchmarking with:Timeout 900 seconds 
Model path: ./data/models_nnet/ffnnTANH__PGDK_w_0.1_6_500.nnet 

Benchmarking with epsilon = 0.005: 

Final result of input 54: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 55: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 56: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 57: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 58: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 59: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 60: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 61: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 62: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 63: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 64: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 65: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.15 seconds
Final result of input 66: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 67: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 68: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 69: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 70: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 71: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 72: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 73: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 74: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 75: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 76: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 77: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.21 seconds
Final result of input 78: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.16 seconds
Final result of input 79: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 80: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 81: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 82: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.15 seconds
Final result of input 83: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.16 seconds
Final result of input 84: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 85: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
