Benchmarking with:Timeout 900 seconds 
Model path: ./data/marabou/mnist10x10.nnet 

Benchmarking with epsilon = 1: 

Final result of input 11: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 12: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 13: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 14: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.13 seconds
Final result of input 15: Status.Safe, branches explored: 57, max depth: 9, time spent: 0.75 seconds
Final result of input 16: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 17: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 18: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 19: Status.Unsafe, branches explored: 27, max depth: 15, time spent: 0.99 seconds
Final result of input 20: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 21: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 22: Status.Undecided, branches explored: 59117, max depth: 63, time spent: 900.14 seconds
Final result of input 23: Status.Undecided, branches explored: 46874, max depth: 60, time spent: 900.06 seconds
Final result of input 24: Status.Undecided, branches explored: 60579, max depth: 59, time spent: 900.07 seconds
Final result of input 25: Status.Unsafe, branches explored: 26, max depth: 15, time spent: 1.03 seconds
Final result of input 26: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 27: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 28: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 29: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 30: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 31: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 32: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 33: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 34: Status.Safe, branches explored: 385, max depth: 20, time spent: 2.77 seconds
Final result of input 35: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 36: Status.Undecided, branches explored: 67087, max depth: 45, time spent: 900.09 seconds
Final result of input 37: Status.Undecided, branches explored: 100237, max depth: 40, time spent: 900.03 seconds
Final result of input 38: Status.Safe, branches explored: 75111, max depth: 32, time spent: 454.15 seconds
Final result of input 39: Status.Safe, branches explored: 67557, max depth: 37, time spent: 342.30 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 41: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 42: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 43: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 44: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 45: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 46: Status.Undecided, branches explored: 62548, max depth: 42, time spent: 900.08 seconds
Final result of input 47: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 48: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 49: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 50: Status.Safe, branches explored: 413, max depth: 17, time spent: 5.76 seconds
Final result of input 51: Status.Undecided, branches explored: 99746, max depth: 45, time spent: 900.10 seconds
Final result of input 52: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 53: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 54: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 55: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 56: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 57: Status.Undecided, branches explored: 94654, max depth: 47, time spent: 900.04 seconds
Final result of input 58: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.09 seconds
Final result of input 59: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 60: Status.Undecided, branches explored: 82335, max depth: 44, time spent: 900.03 seconds
Final result of input 61: Status.Undecided, branches explored: 108925, max depth: 46, time spent: 900.05 seconds
Final result of input 62: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 63: Status.Safe, branches explored: 19, max depth: 8, time spent: 0.22 seconds
Final result of input 64: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 65: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
